event_id,service_area_id,district,action_id,action_name,action_group,event_date,prior_complaint_rate,prior_peak_ratio,accepted_flag,satisfaction_rating
EV000025,SA01006,Bang Kapi,A004,Dispatch voltage quality check,Power Quality,2025-03-01,3.1,1.38,1,
EV000026,SA01006,Bang Kapi,A001,Send peak alert,Demand Response,2025-01-03,3.1,1.38,0,
EV000027,SA01007,Bang Kapi,A002,Schedule preventive inspection,Asset Maintenance,2025-02-07,1.6,1.84,0,
EV000028,SA01007,Bang Kapi,A004,Dispatch voltage quality check,Power Quality,2025-05-10,1.6,1.84,1,
EV000029,SA01007,Bang Kapi,A005,Billing explanation callback,Billing Service,2025-03-25,1.6,1.84,0,
EV000030,SA01008,Bang Kapi,A003,Offer smart meter education,Customer Service,2025-04-07,1.8,1.82,1,
EV000031,SA01009,Bang Kapi,A003,Offer smart meter education,Customer Service,2025-03-27,0.2,1.46,0,4
EV000032,SA01009,Bang Kapi,A002,Schedule preventive inspection,Asset Maintenance,2025-03-02,0.2,1.46,0,
EV000033,SA01009,Bang Kapi,A004,Dispatch voltage quality check,Power Quality,2025-02-06,0.2,1.46,0,
EV000034,SA01009,Bang Kapi,A003,Offer smart meter education,Customer Service,2025-02-22,0.2,1.46,0,5
EV000035,SA01010,Bang Kapi,A004,Dispatch voltage quality check,Power Quality,2025-02-28,2.6,1.76,0,
EV000036,SA01010,Bang Kapi,A003,Offer smart meter education,Customer Service,2025-06-06,2.6,1.76,0,
EV000037,SA01010,Bang Kapi,A003,Offer smart meter education,Customer Service,2025-02-10,2.6,1.76,0,
EV000038,SA01010,Bang Kapi,A004,Dispatch voltage quality check,Power Quality,2025-01-16,2.6,1.76,0,
EV000039,SA01010,Bang Kapi,A006,Energy efficiency advisory,Efficiency Program,2025-01-03,2.6,1.76,1,
EV000040,SA01011,Bang Kapi,A005,Billing explanation callback,Billing Service,2025-06-02,2.3,1.29,0,
EV000041,SA01011,Bang Kapi,A001,Send peak alert,Demand Response,2025-03-28,2.3,1.29,0,3
EV000042,SA01011,Bang Kapi,A002,Schedule preventive inspection,Asset Maintenance,2025-04-10,2.3,1.29,0,
EV000043,SA01011,Bang Kapi,A004,Dispatch voltage quality check,Power Quality,2025-02-08,2.3,1.29,1,
EV000044,SA01012,Bang Kapi,A001,Send peak alert,Demand Response,2025-04-30,1.8,1.32,0,
EV000045,SA01012,Bang Kapi,A002,Schedule preventive inspection,Asset Maintenance,2025-03-22,1.8,1.32,0,
EV000046,SA01013,Bang Kapi,A002,Schedule preventive inspection,Asset Maintenance,2025-01-14,1.7,1.2,0,
EV000047,SA01013,Bang Kapi,A006,Energy efficiency advisory,Efficiency Program,2025-01-12,1.7,1.2,1,
EV000048,SA01013,Bang Kapi,A005,Billing explanation callback,Billing Service,2025-06-03,1.7,1.2,0,
EV000049,SA01014,Bang Kapi,A005,Billing explanation callback,Billing Service,2025-05-19,2.9,1.65,1,
EV000050,SA01014,Bang Kapi,A006,Energy efficiency advisory,Efficiency Program,2025-06-02,2.9,1.65,0,
EV000051,SA01015,Bang Kapi,A006,Energy efficiency advisory,Efficiency Program,2025-02-28,4.1,1.4,0,5
EV000052,SA01016,Bang Kapi,A006,Energy efficiency advisory,Efficiency Program,2025-02-27,1.3,1.66,1,5
EV000053,SA01016,Bang Kapi,A004,Dispatch voltage quality check,Power Quality,2025-02-26,1.3,1.66,0,
EV000054,SA01017,Bang Kapi,A002,Schedule preventive inspection,Asset Maintenance,2025-03-09,3.7,1.87,0,4
EV000055,SA01017,Bang Kapi,A002,Schedule preventive inspection,Asset Maintenance,2025-01-11,3.7,1.87,0,
EV000056,SA01017,Bang Kapi,A005,Billing explanation callback,Billing Service,2025-01-12,3.7,1.87,0,
EV000057,SA01018,Bang Kapi,A002,Schedule preventive inspection,Asset Maintenance,2025-06-09,2.7,1.48,1,
EV000058,SA01018,Bang Kapi,A001,Send peak alert,Demand Response,2025-01-07,2.7,1.48,0,
EV000059,SA01018,Bang Kapi,A006,Energy efficiency advisory,Efficiency Program,2025-06-09,2.7,1.48,1,
EV000060,SA01018,Bang Kapi,A005,Billing explanation callback,Billing Service,2025-04-14,2.7,1.48,1,5
EV000061,SA01019,Bang Kapi,A005,Billing explanation callback,Billing Service,2025-03-31,3.7,1.28,0,
EV000062,SA01019,Bang Kapi,A005,Billing explanation callback,Billing Service,2025-03-30,3.7,1.28,0,5
EV000063,SA01019,Bang Kapi,A004,Dispatch voltage quality check,Power Quality,2025-04-23,3.7,1.28,0,
EV000064,SA01019,Bang Kapi,A003,Offer smart meter education,Customer Service,2025-05-17,3.7,1.28,0,
EV000065,SA01019,Bang Kapi,A002,Schedule preventive inspection,Asset Maintenance,2025-05-08,3.7,1.28,1,
EV000066,SA01019,Bang Kapi,A004,Dispatch voltage quality check,Power Quality,2025-03-13,3.7,1.28,0,4
EV000067,SA01020,Bang Kapi,A005,Billing explanation callback,Billing Service,2025-03-23,2.2,2.05,0,
EV000068,SA01020,Bang Kapi,A006,Energy efficiency advisory,Efficiency Program,2025-02-07,2.2,2.05,0,4
EV000069,SA01020,Bang Kapi,A002,Schedule preventive inspection,Asset Maintenance,2025-05-18,2.2,2.05,0,
EV000070,SA01021,Bang Kapi,A001,Send peak alert,Demand Response,2025-04-24,2.2,1.18,0,
EV000071,SA01022,Bang Kapi,A006,Energy efficiency advisory,Efficiency Program,2025-02-03,2.8,1.98,0,
EV000072,SA01022,Bang Kapi,A002,Schedule preventive inspection,Asset Maintenance,2025-04-27,2.8,1.98,0,
EV000073,SA01022,Bang Kapi,A005,Billing explanation callback,Billing Service,2025-06-07,2.8,1.98,0,
EV000074,SA01023,Bang Kapi,A006,Energy efficiency advisory,Efficiency Program,2025-05-31,3.5,2.08,0,
EV000075,SA01024,Bang Kapi,A004,Dispatch voltage quality check,Power Quality,2025-03-19,5,2.2,0,
EV000076,SA01025,Bang Kapi,A003,Offer smart meter education,Customer Service,2025-01-16,2.9,1.37,0,
EV000077,SA01025,Bang Kapi,A006,Energy efficiency advisory,Efficiency Program,2025-05-09,2.9,1.37,0,
EV000078,SA01025,Bang Kapi,A003,Offer smart meter education,Customer Service,2025-02-15,2.9,1.37,1,4
EV000079,SA01025,Bang Kapi,A002,Schedule preventive inspection,Asset Maintenance,2025-04-30,2.9,1.37,0,
EV000080,SA01025,Bang Kapi,A005,Billing explanation callback,Billing Service,2025-03-19,2.9,1.37,1,
EV000081,SA01025,Bang Kapi,A002,Schedule preventive inspection,Asset Maintenance,2025-05-22,2.9,1.37,1,
EV000082,SA01026,Bang Kapi,A004,Dispatch voltage quality check,Power Quality,2025-03-23,5.2,1.41,1,4
EV000083,SA01026,Bang Kapi,A004,Dispatch voltage quality check,Power Quality,2025-05-22,5.2,1.41,0,
EV000084,SA01026,Bang Kapi,A002,Schedule preventive inspection,Asset Maintenance,2025-01-09,5.2,1.41,0,
EV000085,SA01026,Bang Kapi,A002,Schedule preventive inspection,Asset Maintenance,2025-01-12,5.2,1.41,0,
EV000086,SA01026,Bang Kapi,A003,Offer smart meter education,Customer Service,2025-01-20,5.2,1.41,1,
EV000087,SA01027,Bang Kapi,A001,Send peak alert,Demand Response,2025-06-08,1.6,1.69,0,
EV000088,SA01027,Bang Kapi,A006,Energy efficiency advisory,Efficiency Program,2025-06-04,1.6,1.69,0,
EV000089,SA01027,Bang Kapi,A005,Billing explanation callback,Billing Service,2025-04-05,1.6,1.69,0,
EV000090,SA01028,Bang Kapi,A003,Offer smart meter education,Customer Service,2025-04-12,2.2,1.59,0,
EV000091,SA01028,Bang Kapi,A001,Send peak alert,Demand Response,2025-03-06,2.2,1.59,0,
EV000092,SA01029,Bang Kapi,A002,Schedule preventive inspection,Asset Maintenance,2025-05-26,5.7,1.28,0,
EV000093,SA01029,Bang Kapi,A004,Dispatch voltage quality check,Power Quality,2025-03-13,5.7,1.28,0,
EV000094,SA01030,Bang Kapi,A003,Offer smart meter education,Customer Service,2025-01-17,5,2.12,0,
EV000095,SA01030,Bang Kapi,A003,Offer smart meter education,Customer Service,2025-04-25,5,2.12,1,
EV000096,SA01031,Bang Kapi,A006,Energy efficiency advisory,Efficiency Program,2025-04-09,5.5,1.05,0,5
EV000097,SA01031,Bang Kapi,A004,Dispatch voltage quality check,Power Quality,2025-01-21,5.5,1.05,1,4
EV000098,SA01031,Bang Kapi,A006,Energy efficiency advisory,Efficiency Program,2025-03-06,5.5,1.05,0,5
EV000099,SA01031,Bang Kapi,A004,Dispatch voltage quality check,Power Quality,2025-01-15,5.5,1.05,0,
EV000100,SA01032,Bang Kapi,A006,Energy efficiency advisory,Efficiency Program,2025-04-15,2.8,1.32,0,4
EV000101,SA01032,Bang Kapi,A002,Schedule preventive inspection,Asset Maintenance,2025-02-19,2.8,1.32,0,
EV000102,SA01032,Bang Kapi,A001,Send peak alert,Demand Response,2025-06-02,2.8,1.32,0,4
EV000103,SA01032,Bang Kapi,A005,Billing explanation callback,Billing Service,2025-02-07,2.8,1.32,0,
EV000104,SA01032,Bang Kapi,A002,Schedule preventive inspection,Asset Maintenance,2025-02-16,2.8,1.32,0,
EV000105,SA01032,Bang Kapi,A004,Dispatch voltage quality check,Power Quality,2025-04-22,2.8,1.32,1,4
EV000106,SA01033,Bang Kapi,A002,Schedule preventive inspection,Asset Maintenance,2025-03-25,3.5,1.57,0,
EV000107,SA01033,Bang Kapi,A001,Send peak alert,Demand Response,2025-06-01,3.5,1.57,0,
EV000108,SA01033,Bang Kapi,A003,Offer smart meter education,Customer Service,2025-03-30,3.5,1.57,1,
EV000109,SA01033,Bang Kapi,A002,Schedule preventive inspection,Asset Maintenance,2025-02-16,3.5,1.57,0,
EV000110,SA01034,Bang Kapi,A006,Energy efficiency advisory,Efficiency Program,2025-02-14,2,1.64,0,
EV000111,SA01034,Bang Kapi,A003,Offer smart meter education,Customer Service,2025-04-27,2,1.64,0,
EV000112,SA01035,Bang Kapi,A002,Schedule preventive inspection,Asset Maintenance,2025-02-03,4.9,1.17,0,
EV000113,SA01035,Bang Kapi,A002,Schedule preventive inspection,Asset Maintenance,2025-04-10,4.9,1.17,0,4
EV000114,SA01035,Bang Kapi,A005,Billing explanation callback,Billing Service,2025-04-07,4.9,1.17,0,
EV000115,SA01036,Bang Kapi,A005,Billing explanation callback,Billing Service,2025-04-15,0.2,1.26,0,3
EV000116,SA01036,Bang Kapi,A001,Send peak alert,Demand Response,2025-03-05,0.2,1.26,0,3
EV000117,SA01036,Bang Kapi,A005,Billing explanation callback,Billing Service,2025-01-04,0.2,1.26,0,
EV000118,SA01037,Bang Kapi,A004,Dispatch voltage quality check,Power Quality,2025-03-12,4.2,1.54,0,
EV000119,SA01038,Bang Kapi,A004,Dispatch voltage quality check,Power Quality,2025-03-01,2.9,1.7,1,4
EV000120,SA01039,Bang Kapi,A002,Schedule preventive inspection,Asset Maintenance,2025-05-11,1.1,2.15,0,
EV000121,SA01040,Bang Kapi,A005,Billing explanation callback,Billing Service,2025-01-19,2.3,1.68,1,
EV000122,SA01040,Bang Kapi,A004,Dispatch voltage quality check,Power Quality,2025-04-24,2.3,1.68,0,
EV000123,SA01040,Bang Kapi,A003,Offer smart meter education,Customer Service,2025-04-25,2.3,1.68,0,4
EV000124,SA01040,Bang Kapi,A001,Send peak alert,Demand Response,2025-02-11,2.3,1.68,0,
EV000125,SA01040,Bang Kapi,A002,Schedule preventive inspection,Asset Maintenance,2025-03-07,2.3,1.68,0,
EV000126,SA01041,Bang Kapi,A001,Send peak alert,Demand Response,2025-05-12,4.9,1.05,1,
EV000127,SA01041,Bang Kapi,A002,Schedule preventive inspection,Asset Maintenance,2025-02-24,4.9,1.05,0,
EV000128,SA01041,Bang Kapi,A004,Dispatch voltage quality check,Power Quality,2025-06-07,4.9,1.05,1,4
EV000129,SA01042,Bang Kapi,A004,Dispatch voltage quality check,Power Quality,2025-03-24,3.7,1.21,0,4
EV000130,SA01043,Bang Kapi,A001,Send peak alert,Demand Response,2025-01-17,2.6,1.69,1,
EV000131,SA01043,Bang Kapi,A003,Offer smart meter education,Customer Service,2025-03-02,2.6,1.69,0,
EV000132,SA01043,Bang Kapi,A004,Dispatch voltage quality check,Power Quality,2025-03-10,2.6,1.69,0,4
EV000133,SA01044,Bang Kapi,A005,Billing explanation callback,Billing Service,2025-01-31,3.3,1.12,0,
EV000134,SA01044,Bang Kapi,A003,Offer smart meter education,Customer Service,2025-05-26,3.3,1.12,0,
EV000135,SA01045,Bang Kapi,A002,Schedule preventive inspection,Asset Maintenance,2025-03-21,1.1,1.23,0,4
EV000136,SA01045,Bang Kapi,A004,Dispatch voltage quality check,Power Quality,2025-06-08,1.1,1.23,0,
EV000137,SA01046,Bang Kapi,A004,Dispatch voltage quality check,Power Quality,2025-04-25,3.7,1.68,0,
EV000138,SA01046,Bang Kapi,A005,Billing explanation callback,Billing Service,2025-04-18,3.7,1.68,0,
EV000139,SA01046,Bang Kapi,A006,Energy efficiency advisory,Efficiency Program,2025-05-29,3.7,1.68,0,
EV000140,SA01046,Bang Kapi,A004,Dispatch voltage quality check,Power Quality,2025-01-28,3.7,1.68,1,5
EV000141,SA01046,Bang Kapi,A002,Schedule preventive inspection,Asset Maintenance,2025-05-13,3.7,1.68,1,
EV000142,SA01047,Bang Kapi,A006,Energy efficiency advisory,Efficiency Program,2025-02-09,3.8,1.23,0,
EV000143,SA01048,Bang Kapi,A002,Schedule preventive inspection,Asset Maintenance,2025-02-10,3,1.8,0,
EV000144,SA01048,Bang Kapi,A003,Offer smart meter education,Customer Service,2025-04-02,3,1.8,1,
EV000145,SA01048,Bang Kapi,A002,Schedule preventive inspection,Asset Maintenance,2025-04-09,3,1.8,0,
EV000146,SA01048,Bang Kapi,A001,Send peak alert,Demand Response,2025-04-10,3,1.8,0,
EV000147,SA01048,Bang Kapi,A001,Send peak alert,Demand Response,2025-02-02,3,1.8,0,
EV000148,SA01048,Bang Kapi,A005,Billing explanation callback,Billing Service,2025-04-05,3,1.8,0,
EV000149,SA01048,Bang Kapi,A006,Energy efficiency advisory,Efficiency Program,2025-06-07,3,1.8,0,
EV000150,SA01049,Bang Kapi,A005,Billing explanation callback,Billing Service,2025-05-12,3.9,1.12,0,
EV000151,SA01049,Bang Kapi,A005,Billing explanation callback,Billing Service,2025-06-06,3.9,1.12,0,5
EV000152,SA01049,Bang Kapi,A004,Dispatch voltage quality check,Power Quality,2025-03-07,3.9,1.12,0,
EV000153,SA01049,Bang Kapi,A003,Offer smart meter education,Customer Service,2025-03-11,3.9,1.12,0,4
EV000154,SA01049,Bang Kapi,A004,Dispatch voltage quality check,Power Quality,2025-04-07,3.9,1.12,0,
EV000155,SA01050,Bang Kapi,A005,Billing explanation callback,Billing Service,2025-04-04,2.1,1.56,0,5
EV000156,SA01050,Bang Kapi,A001,Send peak alert,Demand Response,2025-01-14,2.1,1.56,1,
EV000157,SA01050,Bang Kapi,A004,Dispatch voltage quality check,Power Quality,2025-01-13,2.1,1.56,1,
EV000158,SA01051,Bang Kapi,A002,Schedule preventive inspection,Asset Maintenance,2025-04-17,4.2,1.42,0,
EV000159,SA01051,Bang Kapi,A002,Schedule preventive inspection,Asset Maintenance,2025-05-04,4.2,1.42,0,
EV000160,SA01051,Bang Kapi,A004,Dispatch voltage quality check,Power Quality,2025-04-28,4.2,1.42,1,
EV000161,SA01052,Bang Kapi,A005,Billing explanation callback,Billing Service,2025-05-20,0.2,1.52,0,
EV000162,SA01052,Bang Kapi,A002,Schedule preventive inspection,Asset Maintenance,2025-05-15,0.2,1.52,0,5
EV000163,SA01052,Bang Kapi,A006,Energy efficiency advisory,Efficiency Program,2025-01-08,0.2,1.52,1,
EV000164,SA01053,Bang Kapi,A005,Billing explanation callback,Billing Service,2025-03-12,4.1,1.05,1,
EV000165,SA01053,Bang Kapi,A001,Send peak alert,Demand Response,2025-03-14,4.1,1.05,0,4
EV000166,SA01053,Bang Kapi,A001,Send peak alert,Demand Response,2025-03-15,4.1,1.05,1,
EV000167,SA01053,Bang Kapi,A005,Billing explanation callback,Billing Service,2025-05-09,4.1,1.05,0,
EV000168,SA01053,Bang Kapi,A001,Send peak alert,Demand Response,2025-04-13,4.1,1.05,0,
EV000169,SA01053,Bang Kapi,A004,Dispatch voltage quality check,Power Quality,2025-02-10,4.1,1.05,0,
EV000170,SA01054,Bang Kapi,A004,Dispatch voltage quality check,Power Quality,2025-03-24,1.6,1.27,0,4
EV000171,SA01054,Bang Kapi,A004,Dispatch voltage quality check,Power Quality,2025-05-12,1.6,1.27,0,
EV000172,SA01054,Bang Kapi,A006,Energy efficiency advisory,Efficiency Program,2025-02-12,1.6,1.27,1,
EV000173,SA01054,Bang Kapi,A006,Energy efficiency advisory,Efficiency Program,2025-05-21,1.6,1.27,1,
EV000174,SA01055,Bang Kapi,A004,Dispatch voltage quality check,Power Quality,2025-04-11,4.3,1.86,1,
EV000175,SA01055,Bang Kapi,A002,Schedule preventive inspection,Asset Maintenance,2025-01-11,4.3,1.86,0,5
EV000176,SA01055,Bang Kapi,A002,Schedule preventive inspection,Asset Maintenance,2025-02-22,4.3,1.86,1,4
EV000177,SA01055,Bang Kapi,A004,Dispatch voltage quality check,Power Quality,2025-04-17,4.3,1.86,1,
EV000178,SA01055,Bang Kapi,A002,Schedule preventive inspection,Asset Maintenance,2025-03-29,4.3,1.86,0,5
EV000179,SA01055,Bang Kapi,A003,Offer smart meter education,Customer Service,2025-05-23,4.3,1.86,0,4
EV000180,SA01055,Bang Kapi,A006,Energy efficiency advisory,Efficiency Program,2025-03-15,4.3,1.86,1,
EV000181,SA01056,Bang Kapi,A005,Billing explanation callback,Billing Service,2025-01-06,2.6,1.67,1,
EV000182,SA01056,Bang Kapi,A002,Schedule preventive inspection,Asset Maintenance,2025-01-18,2.6,1.67,0,3
EV000183,SA01057,Bang Kapi,A006,Energy efficiency advisory,Efficiency Program,2025-03-10,2.8,1.71,0,
EV000184,SA01057,Bang Kapi,A003,Offer smart meter education,Customer Service,2025-06-03,2.8,1.71,0,4
EV000185,SA01057,Bang Kapi,A006,Energy efficiency advisory,Efficiency Program,2025-05-03,2.8,1.71,0,
EV000186,SA01057,Bang Kapi,A002,Schedule preventive inspection,Asset Maintenance,2025-02-24,2.8,1.71,1,
EV000187,SA01057,Bang Kapi,A002,Schedule preventive inspection,Asset Maintenance,2025-04-17,2.8,1.71,0,
EV000188,SA01057,Bang Kapi,A005,Billing explanation callback,Billing Service,2025-03-02,2.8,1.71,0,
EV000189,SA01057,Bang Kapi,A001,Send peak alert,Demand Response,2025-01-15,2.8,1.71,0,3
EV000190,SA01058,Bang Kapi,A004,Dispatch voltage quality check,Power Quality,2025-04-25,4.8,1.21,1,
EV000191,SA01058,Bang Kapi,A004,Dispatch voltage quality check,Power Quality,2025-02-18,4.8,1.21,0,
EV000192,SA01058,Bang Kapi,A006,Energy efficiency advisory,Efficiency Program,2025-03-03,4.8,1.21,0,3
EV000193,SA01059,Bang Kapi,A006,Energy efficiency advisory,Efficiency Program,2025-04-30,2.1,1.91,1,
EV000194,SA01059,Bang Kapi,A004,Dispatch voltage quality check,Power Quality,2025-05-24,2.1,1.91,1,
EV000195,SA01059,Bang Kapi,A001,Send peak alert,Demand Response,2025-05-13,2.1,1.91,0,
EV000196,SA01059,Bang Kapi,A001,Send peak alert,Demand Response,2025-05-17,2.1,1.91,0,4
EV000197,SA01059,Bang Kapi,A005,Billing explanation callback,Billing Service,2025-06-07,2.1,1.91,0,
EV000198,SA01060,Bang Kapi,A002,Schedule preventive inspection,Asset Maintenance,2025-03-11,4.3,1.66,0,
EV000199,SA01060,Bang Kapi,A001,Send peak alert,Demand Response,2025-01-03,4.3,1.66,1,
EV000200,SA01060,Bang Kapi,A005,Billing explanation callback,Billing Service,2025-03-26,4.3,1.66,1,
EV000201,SA01060,Bang Kapi,A004,Dispatch voltage quality check,Power Quality,2025-04-11,4.3,1.66,0,
EV000202,SA01060,Bang Kapi,A002,Schedule preventive inspection,Asset Maintenance,2025-01-25,4.3,1.66,0,4
EV000203,SA01061,Bang Kapi,A002,Schedule preventive inspection,Asset Maintenance,2025-05-26,3.6,1.43,0,2
EV000204,SA01061,Bang Kapi,A002,Schedule preventive inspection,Asset Maintenance,2025-06-07,3.6,1.43,0,
EV000205,SA01062,Bang Kapi,A001,Send peak alert,Demand Response,2025-04-11,4.6,1.89,0,
EV000206,SA01062,Bang Kapi,A002,Schedule preventive inspection,Asset Maintenance,2025-04-16,4.6,1.89,1,
EV000207,SA01062,Bang Kapi,A006,Energy efficiency advisory,Efficiency Program,2025-04-09,4.6,1.89,0,
EV000208,SA01062,Bang Kapi,A001,Send peak alert,Demand Response,2025-03-28,4.6,1.89,0,
EV000209,SA01063,Bang Kapi,A003,Offer smart meter education,Customer Service,2025-04-18,4.4,1.64,1,
EV000210,SA01063,Bang Kapi,A005,Billing explanation callback,Billing Service,2025-04-23,4.4,1.64,0,3
EV000211,SA01063,Bang Kapi,A005,Billing explanation callback,Billing Service,2025-01-29,4.4,1.64,0,
EV000212,SA01063,Bang Kapi,A002,Schedule preventive inspection,Asset Maintenance,2025-05-26,4.4,1.64,0,
EV000213,SA01063,Bang Kapi,A005,Billing explanation callback,Billing Service,2025-05-10,4.4,1.64,0,
EV000214,SA01064,Bang Kapi,A001,Send peak alert,Demand Response,2025-03-25,2.4,1.47,1,
EV000215,SA01064,Bang Kapi,A005,Billing explanation callback,Billing Service,2025-05-19,2.4,1.47,0,
EV000216,SA01064,Bang Kapi,A006,Energy efficiency advisory,Efficiency Program,2025-04-14,2.4,1.47,1,
EV000217,SA01064,Bang Kapi,A001,Send peak alert,Demand Response,2025-03-30,2.4,1.47,0,
EV000218,SA01064,Bang Kapi,A004,Dispatch voltage quality check,Power Quality,2025-05-28,2.4,1.47,0,
EV000219,SA01065,Bang Kapi,A004,Dispatch voltage quality check,Power Quality,2025-01-28,4.1,1.42,0,
EV000220,SA01065,Bang Kapi,A006,Energy efficiency advisory,Efficiency Program,2025-04-14,4.1,1.42,0,
EV000221,SA01066,Bang Kapi,A003,Offer smart meter education,Customer Service,2025-03-07,2.9,1.05,0,
EV000222,SA01066,Bang Kapi,A006,Energy efficiency advisory,Efficiency Program,2025-02-21,2.9,1.05,0,
EV000223,SA01066,Bang Kapi,A005,Billing explanation callback,Billing Service,2025-02-11,2.9,1.05,0,
EV000224,SA01066,Bang Kapi,A005,Billing explanation callback,Billing Service,2025-04-27,2.9,1.05,0,
EV000225,SA01067,Bang Kapi,A004,Dispatch voltage quality check,Power Quality,2025-05-15,3.9,1.18,0,
EV000226,SA01067,Bang Kapi,A005,Billing explanation callback,Billing Service,2025-03-23,3.9,1.18,0,
EV000227,SA01067,Bang Kapi,A002,Schedule preventive inspection,Asset Maintenance,2025-05-22,3.9,1.18,0,
EV000228,SA01067,Bang Kapi,A002,Schedule preventive inspection,Asset Maintenance,2025-03-28,3.9,1.18,0,3
EV000229,SA01067,Bang Kapi,A005,Billing explanation callback,Billing Service,2025-03-03,3.9,1.18,1,5
EV000230,SA01067,Bang Kapi,A006,Energy efficiency advisory,Efficiency Program,2025-03-15,3.9,1.18,1,4
EV000231,SA01068,Bang Kapi,A004,Dispatch voltage quality check,Power Quality,2025-04-28,1.9,1.76,0,
EV000232,SA01068,Bang Kapi,A001,Send peak alert,Demand Response,2025-05-05,1.9,1.76,0,4
EV000233,SA01068,Bang Kapi,A004,Dispatch voltage quality check,Power Quality,2025-02-23,1.9,1.76,0,
EV000234,SA01068,Bang Kapi,A006,Energy efficiency advisory,Efficiency Program,2025-01-13,1.9,1.76,0,3
EV000235,SA01068,Bang Kapi,A005,Billing explanation callback,Billing Service,2025-05-17,1.9,1.76,0,4
EV000236,SA01069,Bang Kapi,A002,Schedule preventive inspection,Asset Maintenance,2025-03-26,3.6,1.48,0,
EV000237,SA01069,Bang Kapi,A005,Billing explanation callback,Billing Service,2025-03-28,3.6,1.48,0,3
EV000238,SA01069,Bang Kapi,A006,Energy efficiency advisory,Efficiency Program,2025-03-10,3.6,1.48,0,
EV000239,SA01069,Bang Kapi,A004,Dispatch voltage quality check,Power Quality,2025-05-20,3.6,1.48,1,
EV000240,SA01069,Bang Kapi,A004,Dispatch voltage quality check,Power Quality,2025-02-01,3.6,1.48,0,
EV000241,SA01069,Bang Kapi,A006,Energy efficiency advisory,Efficiency Program,2025-05-19,3.6,1.48,0,
EV000242,SA01069,Bang Kapi,A006,Energy efficiency advisory,Efficiency Program,2025-03-14,3.6,1.48,0,
EV000243,SA01070,Bang Kapi,A003,Offer smart meter education,Customer Service,2025-03-01,3.1,1.2,0,4
EV000244,SA02001,Bang Khen,A002,Schedule preventive inspection,Asset Maintenance,2025-02-20,3.1,1.19,0,
EV000245,SA02001,Bang Khen,A006,Energy efficiency advisory,Efficiency Program,2025-01-27,3.1,1.19,0,5
EV000246,SA02001,Bang Khen,A001,Send peak alert,Demand Response,2025-05-19,3.1,1.19,0,
