meter_id,district,customer_type,reading_date,kwh_current_month,kwh_previous_month,days_since_last_read,voltage_event_count_30d,estimated_read_flag,meter_age_years,anomaly_label
M000054,Din Daeng,Government,2025-06-23,1865,2941,28,0,0,13,0
M000055,Din Daeng,Mixed,2025-06-03,633,485,37,3,0,3,0
M000056,Din Daeng,Residential,2025-07-01,603,647,26,3,0,6,0
M000057,Phaya Thai,Government,2025-06-25,1902,3004,46,4,0,16,1
M000058,Thon Buri,Commercial,2025-07-25,1978,1952,33,1,0,7,0
M000059,Phaya Thai,Mixed,2025-07-06,529,388,32,0,0,17,0
M000060,Din Daeng,Government,2025-07-20,8653,2482,46,4,0,5,1
M000061,Bang Khen,Mixed,2025-05-31,463,713,43,0,0,15,0
M000062,Khlong Toei,Commercial,2025-05-22,2884,2067,29,3,0,1,0
M000063,Bang Khen,Mixed,2025-05-16,402,519,26,0,0,8,0
M000064,Bang Kapi,Industrial,2025-06-15,8404,7871,29,0,0,15,0
M000065,Din Daeng,Government,2025-07-19,3092,2407,31,2,0,8,0
M000066,Lat Phrao,Commercial,2025-06-19,2014,2062,35,0,0,9,0
M000067,Din Daeng,Mixed,2025-05-13,1444,573,44,1,1,7,1
M000068,Lat Phrao,Commercial,2025-07-22,1231,1858,31,0,0,16,0
M000069,Bang Kho Laem,Commercial,2025-06-23,2180,2392,40,2,0,12,0
M000070,Bang Kho Laem,Industrial,2025-05-03,22636,7077,55,6,0,3,1
M000071,Bang Kho Laem,Government,2025-07-04,3188,2239,20,2,0,2,0
M000072,Bang Khen,Commercial,2025-05-13,2445,1438,31,3,0,9,0
M000073,Khlong Toei,Industrial,2025-05-10,7004,8091,24,2,0,4,0
M000074,Lat Phrao,Government,2025-05-18,3873,3677,36,1,0,14,0
M000075,Bang Kapi,Residential,2025-06-15,581,490,46,2,0,9,0
M000076,Bang Kho Laem,Industrial,2025-06-30,10140,7400,35,0,0,6,0
M000077,Khlong Toei,Commercial,2025-05-19,1376,1919,28,1,0,9,0
M000078,Lat Phrao,Residential,2025-06-07,592,662,34,1,1,7,0
M000079,Bang Kho Laem,Government,2025-05-18,2878,3271,33,0,1,14,0
M000080,Bang Kho Laem,Government,2025-05-06,2458,3647,33,2,0,15,0
M000081,Khlong Toei,Residential,2025-06-26,516,470,37,2,0,16,0
M000082,Bang Kapi,Residential,2025-07-14,463,506,34,0,1,8,0
M000083,Bang Khen,Residential,2025-06-17,543,583,36,0,0,2,0
M000084,Bang Kapi,Government,2025-05-19,4093,3937,28,4,0,4,0
M000085,Din Daeng,Residential,2025-06-26,409,527,34,0,0,8,0
M000086,Bang Kho Laem,Industrial,2025-05-20,6684,7360,35,1,0,6,0
M000087,Bang Kho Laem,Residential,2025-06-23,496,547,34,0,0,6,0
M000088,Phaya Thai,Mixed,2025-07-07,623,478,22,0,0,10,0
M000089,Lat Phrao,Mixed,2025-05-08,561,689,32,1,0,5,0
M000090,Bang Khen,Industrial,2025-06-27,7672,6750,40,0,0,4,0
M000091,Din Daeng,Commercial,2025-06-20,3164,1722,28,0,0,8,0
M000092,Khlong Toei,Residential,2025-07-01,395,386,30,0,0,1,0
M000093,Lat Phrao,Industrial,2025-05-23,6202,7352,28,0,1,5,0
M000094,Din Daeng,Commercial,2025-07-25,2463,2113,30,1,0,15,0
M000095,Lat Phrao,Commercial,2025-05-03,2164,1607,22,3,1,16,0
M000096,Bang Kapi,Residential,2025-07-28,386,366,29,0,0,1,0
M000097,Phaya Thai,Residential,2025-05-12,497,516,43,0,0,9,0
M000098,Bang Khen,Residential,2025-07-24,468,659,30,2,0,1,0
M000099,Phaya Thai,Industrial,2025-05-14,9125,7453,25,2,0,8,0
M000100,Bang Khen,Industrial,2025-07-15,6377,8053,40,2,0,8,0
M000101,Bang Kapi,Residential,2025-05-07,658,374,43,3,0,1,0
M000102,Phaya Thai,Mixed,2025-05-08,538,399,30,1,0,9,0
M000103,Din Daeng,Industrial,2025-06-17,6378,8830,32,2,0,9,0
M000104,Phaya Thai,Residential,2025-07-17,527,501,32,3,0,4,0
M000105,Bang Khen,Industrial,2025-06-13,8784,9907,22,0,0,1,0
M000106,Phaya Thai,Commercial,2025-06-06,3212,1454,29,0,0,6,0
M000107,Phaya Thai,Industrial,2025-06-13,4666,11452,22,0,0,4,0
M000108,Khlong Toei,Mixed,2025-07-01,434,484,29,0,0,10,0
M000109,Bang Kapi,Mixed,2025-07-05,700,500,33,0,0,1,0
M000110,Phaya Thai,Government,2025-07-04,2262,2317,27,1,0,12,0
M000111,Lat Phrao,Industrial,2025-06-20,8900,6713,25,0,0,10,0
M000112,Lat Phrao,Government,2025-06-13,3640,3623,44,2,0,1,0
M000113,Din Daeng,Government,2025-06-22,2840,2954,28,4,0,10,0
M000114,Khlong Toei,Industrial,2025-05-20,7628,8800,27,0,0,3,0
M000115,Thon Buri,Industrial,2025-07-22,9152,9271,36,2,0,6,0
M000116,Din Daeng,Commercial,2025-06-11,1889,1941,27,0,0,14,0
M000117,Khlong Toei,Residential,2025-07-19,530,539,34,0,0,1,0
M000118,Phaya Thai,Commercial,2025-06-20,2044,2642,33,1,0,12,0
M000119,Thon Buri,Commercial,2025-05-18,3186,2081,25,0,0,5,0
M000120,Bang Khen,Commercial,2025-06-14,2452,2370,26,0,0,17,0
M000121,Khlong Toei,Government,2025-05-21,3819,3615,37,0,0,1,0
M000122,Bang Khen,Mixed,2025-06-07,324,705,39,3,0,5,0
M000123,Khlong Toei,Government,2025-05-12,4028,3867,35,0,0,6,0
M000124,Bang Khen,Commercial,2025-05-24,1413,1776,31,4,0,15,0
M000125,Lat Phrao,Government,2025-07-05,2972,4045,34,0,0,6,0
M000126,Phaya Thai,Residential,2025-06-01,458,551,36,1,0,6,0
M000127,Lat Phrao,Industrial,2025-07-03,7418,7983,24,6,0,7,0
M000128,Thon Buri,Government,2025-06-14,2142,3603,26,6,0,4,0
M000129,Bang Khen,Residential,2025-06-04,541,528,34,0,0,5,0
M000130,Khlong Toei,Government,2025-07-02,2265,2734,28,1,0,20,0
M000131,Thon Buri,Mixed,2025-07-16,750,453,36,1,0,7,0
M000132,Bang Khen,Commercial,2025-06-20,1760,2523,24,0,0,8,0
M000133,Bang Kapi,Residential,2025-06-11,374,674,30,0,0,5,0
M000134,Phaya Thai,Residential,2025-06-07,533,489,20,0,1,11,0
M000135,Khlong Toei,Industrial,2025-07-18,5929,7553,20,0,0,12,0
M000136,Phaya Thai,Government,2025-05-10,2286,1990,22,0,0,10,0
M000137,Din Daeng,Government,2025-07-23,3202,2266,25,1,0,13,0
M000138,Bang Kapi,Government,2025-06-08,3567,3081,38,1,0,10,0
M000139,Din Daeng,Commercial,2025-05-11,2586,2165,25,1,0,12,0
M000140,Thon Buri,Mixed,2025-06-21,385,584,28,0,0,5,0
M000141,Lat Phrao,Government,2025-07-20,3998,3407,32,0,0,13,0
M000142,Phaya Thai,Industrial,2025-07-01,10669,7963,30,0,0,6,0
M000143,Thon Buri,Industrial,2025-07-03,8593,7346,31,2,0,19,0
M000144,Lat Phrao,Commercial,2025-05-03,2223,2302,35,2,0,14,0
M000145,Bang Kapi,Industrial,2025-06-21,12923,10779,25,3,0,6,0
M000146,Bang Khen,Mixed,2025-05-06,422,377,27,2,0,14,0
M000147,Phaya Thai,Residential,2025-05-07,549,651,29,3,0,3,0
M000148,Din Daeng,Government,2025-05-30,2943,3363,30,0,0,7,0
M000149,Bang Kapi,Industrial,2025-05-15,8139,5709,42,2,0,7,0
M000150,Din Daeng,Residential,2025-07-23,430,549,26,1,0,15,0
M000151,Thon Buri,Residential,2025-07-17,385,552,37,2,0,5,0
M000152,Thon Buri,Industrial,2025-07-09,7768,4828,29,0,0,7,0
M000153,Bang Khen,Industrial,2025-07-10,7789,7047,26,1,0,8,0
M000154,Phaya Thai,Government,2025-07-09,2192,3474,27,2,0,12,0
M000155,Khlong Toei,Mixed,2025-06-04,542,457,30,1,0,5,0
M000156,Din Daeng,Industrial,2025-06-26,7864,7096,33,2,0,12,0
M000157,Bang Kho Laem,Commercial,2025-05-31,1528,2593,44,0,0,9,0
M000158,Phaya Thai,Government,2025-06-03,3480,3059,36,0,0,4,0
M000159,Bang Khen,Commercial,2025-06-17,5854,1475,53,5,0,2,1
M000160,Lat Phrao,Residential,2025-05-17,558,362,21,0,0,10,0
M000161,Lat Phrao,Industrial,2025-06-21,7642,8135,24,2,0,17,0
M000162,Bang Khen,Commercial,2025-05-10,1658,2260,39,2,0,6,0
M000163,Phaya Thai,Industrial,2025-05-11,6075,5381,35,1,0,6,0
M000164,Bang Kho Laem,Residential,2025-06-03,514,572,47,3,0,13,0
M000165,Bang Kho Laem,Industrial,2025-05-26,7584,6154,31,0,0,4,0
M000166,Khlong Toei,Government,2025-05-04,3507,1562,30,1,0,7,0
M000167,Bang Khen,Industrial,2025-05-28,5799,6261,33,3,0,10,0
M000168,Din Daeng,Commercial,2025-07-17,2489,2264,40,0,0,11,0
M000169,Lat Phrao,Government,2025-06-25,1948,3986,42,0,0,8,0
M000170,Bang Kapi,Commercial,2025-05-08,1451,2380,53,3,1,5,1
M000171,Bang Kho Laem,Industrial,2025-05-22,6729,8523,26,2,0,11,0
M000172,Bang Khen,Commercial,2025-05-03,1946,2372,28,0,0,6,0
M000173,Bang Kho Laem,Industrial,2025-06-13,7408,7946,37,2,0,15,0
M000174,Phaya Thai,Government,2025-07-03,3821,2912,27,1,0,16,0
M000175,Bang Kho Laem,Commercial,2025-07-07,2300,1629,27,5,0,6,0
M000176,Phaya Thai,Mixed,2025-06-03,403,414,30,1,0,4,0
M000177,Din Daeng,Residential,2025-05-31,572,568,29,1,0,7,0
M000178,Bang Kho Laem,Residential,2025-07-04,647,397,30,0,0,3,0
M000179,Lat Phrao,Industrial,2025-06-21,8752,7271,22,4,0,13,0
M000180,Khlong Toei,Residential,2025-05-22,448,356,20,0,0,11,0
M000181,Phaya Thai,Residential,2025-06-11,551,491,28,2,0,11,0
M000182,Phaya Thai,Government,2025-06-13,4008,2829,31,1,0,9,0
M000183,Bang Kho Laem,Government,2025-06-20,2428,3909,40,0,0,10,0
M000184,Bang Kapi,Government,2025-05-26,3243,3541,39,0,0,10,0
M000185,Phaya Thai,Industrial,2025-05-08,6348,5229,24,0,0,4,0
M000186,Bang Khen,Government,2025-06-11,3819,3738,29,2,0,4,0
M000187,Lat Phrao,Commercial,2025-06-17,1367,2353,32,0,0,4,0
M000188,Khlong Toei,Mixed,2025-05-11,787,667,23,0,0,9,0
M000189,Lat Phrao,Industrial,2025-06-30,8331,8913,35,2,0,12,0
M000190,Phaya Thai,Mixed,2025-07-04,451,691,30,1,0,4,0
M000191,Thon Buri,Mixed,2025-07-08,572,635,37,0,0,7,0
M000192,Lat Phrao,Mixed,2025-05-06,429,573,33,2,0,1,0
M000193,Bang Kho Laem,Commercial,2025-06-25,1998,2569,29,2,0,8,0
M000194,Thon Buri,Government,2025-06-04,5,2047,50,6,1,10,1
M000195,Thon Buri,Government,2025-07-08,2736,3247,27,1,0,10,0
M000196,Din Daeng,Residential,2025-05-23,420,506,32,0,0,1,0
M000197,Lat Phrao,Mixed,2025-07-26,626,357,29,0,0,9,0
M000198,Bang Khen,Industrial,2025-06-10,8351,7997,35,0,0,5,0
M000199,Khlong Toei,Commercial,2025-05-10,2265,1907,33,0,0,10,0
M000200,Lat Phrao,Mixed,2025-06-02,478,578,21,0,1,5,0
M000201,Bang Kapi,Government,2025-07-05,3824,2650,36,1,0,6,0
M000202,Phaya Thai,Residential,2025-05-04,549,394,33,0,0,9,0
M000203,Bang Kapi,Government,2025-06-03,3581,3533,32,0,1,7,0
M000204,Lat Phrao,Residential,2025-05-01,677,605,39,0,0,15,0
M000205,Lat Phrao,Residential,2025-07-09,573,445,36,0,0,6,0
M000206,Phaya Thai,Mixed,2025-05-28,449,515,25,2,0,11,0
M000207,Bang Kho Laem,Commercial,2025-07-04,2674,2598,35,1,0,2,0
M000208,Bang Khen,Residential,2025-07-26,338,377,33,3,0,17,0
M000209,Thon Buri,Commercial,2025-05-30,2106,2155,34,1,0,11,0
M000210,Khlong Toei,Mixed,2025-05-27,578,647,36,2,0,1,0
M000211,Thon Buri,Government,2025-05-12,2979,3795,27,0,0,5,0
M000212,Phaya Thai,Residential,2025-05-27,537,348,33,0,0,1,0
M000213,Lat Phrao,Government,2025-05-20,2963,3033,28,0,0,7,0
M000214,Phaya Thai,Industrial,2025-06-19,8724,9150,30,0,0,6,0
M000215,Din Daeng,Mixed,2025-07-17,422,502,30,0,0,1,0
M000216,Thon Buri,Government,2025-06-03,2636,2036,31,0,0,12,0
M000217,Bang Kapi,Industrial,2025-06-19,9771,9708,20,3,0,5,0
M000218,Lat Phrao,Commercial,2025-06-07,1830,1870,30,0,1,7,0
M000219,Lat Phrao,Mixed,2025-07-28,790,398,20,5,0,10,0
M000220,Bang Khen,Residential,2025-05-15,565,424,28,3,0,13,0
M000221,Din Daeng,Residential,2025-06-02,381,528,39,1,0,12,0
M000222,Thon Buri,Commercial,2025-06-09,1521,2174,38,0,0,14,0
M000223,Bang Kapi,Mixed,2025-06-26,371,541,33,2,0,5,0
M000224,Khlong Toei,Commercial,2025-06-21,2009,2109,36,0,0,8,0
M000225,Khlong Toei,Industrial,2025-05-21,8160,6535,40,1,0,1,0
M000226,Bang Kho Laem,Industrial,2025-05-29,11008,8134,33,3,0,6,0
M000227,Din Daeng,Residential,2025-06-30,339,521,25,0,0,18,0
M000228,Khlong Toei,Commercial,2025-05-30,1375,1301,29,4,0,14,0
M000229,Khlong Toei,Residential,2025-05-27,587,585,29,2,0,16,0
M000230,Phaya Thai,Mixed,2025-05-20,339,626,32,0,0,17,0
M000231,Lat Phrao,Government,2025-07-13,2457,3280,29,1,0,5,0
M000232,Thon Buri,Residential,2025-05-28,394,505,20,1,0,8,0
M000233,Phaya Thai,Government,2025-05-23,3784,3922,29,0,0,13,0
M000234,Bang Kapi,Government,2025-06-17,4746,3063,22,2,0,1,0
M000235,Bang Khen,Government,2025-05-21,3391,3036,38,0,0,9,0
M000236,Thon Buri,Government,2025-06-24,2695,3566,32,1,0,7,0
M000237,Lat Phrao,Industrial,2025-05-15,6078,5778,33,0,0,6,0
M000238,Bang Khen,Industrial,2025-06-04,6505,7461,33,0,0,1,0
M000239,Khlong Toei,Government,2025-06-10,4187,3366,36,2,0,15,0
M000240,Bang Khen,Government,2025-06-29,3047,3030,31,1,1,7,0
M000241,Thon Buri,Residential,2025-05-29,581,629,23,2,0,1,0
M000242,Phaya Thai,Government,2025-06-02,1490,3450,26,0,0,9,0
M000243,Thon Buri,Commercial,2025-07-29,1297,2247,32,2,0,5,0
M000244,Bang Khen,Mixed,2025-05-12,369,317,35,4,0,7,0
M000245,Phaya Thai,Commercial,2025-05-25,2134,1505,29,0,0,9,0
M000246,Lat Phrao,Residential,2025-05-31,487,513,33,4,0,5,0
M000247,Phaya Thai,Mixed,2025-07-19,444,479,28,1,1,5,0
M000248,Din Daeng,Mixed,2025-06-12,500,647,28,1,0,1,0
M000249,Thon Buri,Residential,2025-07-24,357,634,31,0,0,4,0
M000250,Lat Phrao,Government,2025-06-08,2635,4646,26,0,0,9,0
M000251,Khlong Toei,Government,2025-05-21,2833,3110,34,2,0,11,0
M000252,Din Daeng,Mixed,2025-06-05,454,485,31,1,1,15,0
M000253,Lat Phrao,Government,2025-06-01,3137,2530,36,1,0,8,0
M000254,Bang Khen,Commercial,2025-05-28,2532,2659,27,2,0,1,0
M000255,Bang Kho Laem,Industrial,2025-06-03,6938,8280,34,4,0,3,0
M000256,Din Daeng,Residential,2025-06-16,584,544,30,1,0,13,0
M000257,Bang Kho Laem,Mixed,2025-06-03,413,399,40,2,0,14,0
M000258,Lat Phrao,Commercial,2025-06-16,1495,2485,37,0,0,8,0
M000259,Bang Kapi,Government,2025-05-28,2552,2549,33,2,0,20,0
M000260,Khlong Toei,Commercial,2025-05-09,1882,2061,27,0,0,16,0
M000261,Lat Phrao,Residential,2025-07-01,714,474,20,1,0,13,0
M000262,Bang Kapi,Government,2025-06-19,3788,3615,29,3,0,9,0
M000263,Lat Phrao,Commercial,2025-06-01,1715,2388,29,1,0,12,0
M000264,Thon Buri,Government,2025-06-13,3101,3608,32,2,0,1,0
M000265,Thon Buri,Industrial,2025-06-23,8505,9348,37,1,0,14,0
M000266,Phaya Thai,Government,2025-07-03,2966,3366,32,1,0,9,0
M000267,Thon Buri,Government,2025-06-07,3860,3706,32,2,1,5,0
M000268,Thon Buri,Commercial,2025-07-10,2009,1612,22,0,0,6,0
M000269,Bang Kho Laem,Residential,2025-06-17,507,504,38,0,0,1,0
M000270,Khlong Toei,Industrial,2025-07-29,7210,6276,42,3,0,9,0
M000271,Khlong Toei,Commercial,2025-05-13,2445,2573,30,2,0,14,0
M000272,Thon Buri,Industrial,2025-07-14,8666,7622,30,2,0,6,0
M000273,Lat Phrao,Residential,2025-06-12,558,706,20,0,0,13,0
M000274,Bang Kho Laem,Residential,2025-07-13,392,488,29,2,0,4,0
M000275,Bang Kapi,Residential,2025-07-18,482,560,36,1,0,7,0
M000276,Bang Kapi,Government,2025-06-03,4111,3417,31,0,0,10,0
M000277,Lat Phrao,Industrial,2025-06-09,22680,8325,54,3,1,4,1
M000278,Khlong Toei,Industrial,2025-05-28,8905,7803,29,3,0,11,0
M000279,Bang Khen,Mixed,2025-05-07,457,392,37,0,0,16,0
M000280,Bang Kho Laem,Industrial,2025-06-04,10829,6112,37,1,1,8,0
M000281,Bang Kapi,Industrial,2025-06-14,8263,11274,27,1,0,9,0
M000282,Bang Khen,Residential,2025-07-04,500,622,31,0,0,4,0
M000283,Din Daeng,Commercial,2025-07-20,2079,1411,26,2,0,1,0
M000284,Din Daeng,Commercial,2025-07-10,2696,2211,28,1,0,11,0
M000285,Thon Buri,Mixed,2025-06-14,609,471,35,3,0,20,0
M000286,Phaya Thai,Commercial,2025-06-24,1866,2306,33,0,0,10,0
M000287,Thon Buri,Residential,2025-05-20,446,496,35,2,0,5,0
M000288,Bang Khen,Commercial,2025-05-20,1691,2557,25,3,0,2,0
M000289,Phaya Thai,Commercial,2025-07-18,2130,1817,31,1,0,11,0
M000290,Din Daeng,Commercial,2025-07-03,2175,2414,30,0,0,10,0
M000291,Thon Buri,Commercial,2025-07-11,2801,1956,38,3,0,11,0
M000292,Khlong Toei,Residential,2025-07-27,592,456,25,2,0,5,0
M000293,Lat Phrao,Mixed,2025-06-28,582,475,30,3,0,9,0
M000294,Bang Khen,Industrial,2025-07-09,8194,7913,46,0,0,1,0
M000295,Thon Buri,Commercial,2025-07-29,2876,2132,34,3,0,9,0
M000296,Phaya Thai,Residential,2025-05-09,700,428,29,0,0,18,0
M000297,Phaya Thai,Mixed,2025-05-17,665,321,37,2,0,16,0
M000298,Din Daeng,Government,2025-06-02,4610,3666,42,2,0,12,0
M000299,Bang Khen,Commercial,2025-06-03,2453,2591,30,3,0,7,0
M000300,Din Daeng,Industrial,2025-06-22,7454,8707,28,2,0,2,0
M000301,Thon Buri,Residential,2025-05-14,410,620,34,0,0,11,0
M000302,Bang Khen,Industrial,2025-07-19,23492,8430,47,4,0,6,1
M000303,Bang Kho Laem,Mixed,2025-06-11,363,342,31,0,0,2,0
M000304,Phaya Thai,Industrial,2025-05-02,9346,10260,34,0,0,11,0
M000305,Bang Khen,Mixed,2025-05-03,515,588,34,0,0,1,0
M000306,Bang Kho Laem,Commercial,2025-06-23,1616,1894,32,3,0,8,0
M000307,Khlong Toei,Mixed,2025-05-07,544,556,31,1,0,3,0
M000308,Bang Khen,Residential,2025-07-11,1542,597,47,5,0,1,1
M000309,Bang Kho Laem,Industrial,2025-05-09,5020,9663,31,0,0,16,0
M000310,Din Daeng,Industrial,2025-06-14,5760,7109,29,2,0,11,0
M000311,Phaya Thai,Mixed,2025-06-26,420,598,28,1,0,8,0
M000312,Bang Kho Laem,Mixed,2025-06-21,427,548,35,0,0,11,0
M000313,Thon Buri,Industrial,2025-07-16,9025,6750,21,2,0,8,0
M000314,Bang Kho Laem,Industrial,2025-06-28,9928,6725,31,0,0,3,0
M000315,Thon Buri,Residential,2025-07-05,586,452,30,1,0,16,0
M000316,Bang Kho Laem,Residential,2025-05-09,443,537,28,0,0,7,0
M000317,Din Daeng,Commercial,2025-06-08,2496,3073,32,0,0,5,0
M000318,Bang Kho Laem,Commercial,2025-07-27,2194,2394,30,0,0,6,0
M000319,Thon Buri,Commercial,2025-06-19,2389,2211,26,1,0,1,0
M000320,Bang Kho Laem,Mixed,2025-05-24,451,503,30,1,0,1,0
M000321,Thon Buri,Mixed,2025-05-08,550,553,23,0,0,5,0
M000322,Bang Khen,Industrial,2025-07-25,7626,7758,36,0,0,13,0
M000323,Din Daeng,Residential,2025-06-12,744,693,27,1,0,13,0
M000324,Bang Khen,Mixed,2025-05-21,800,525,37,0,0,11,0
M000325,Phaya Thai,Commercial,2025-06-30,2924,2379,41,1,0,1,0
M000326,Din Daeng,Government,2025-07-25,2277,2692,31,0,0,4,0
M000327,Bang Khen,Mixed,2025-05-11,633,416,25,0,0,5,0
M000328,Bang Khen,Mixed,2025-06-15,541,494,41,1,0,13,0
M000329,Khlong Toei,Residential,2025-05-04,345,523,38,0,0,5,0
M000330,Din Daeng,Mixed,2025-05-19,535,642,25,0,0,1,0
M000331,Bang Kapi,Residential,2025-07-20,597,584,47,0,0,12,0
M000332,Thon Buri,Industrial,2025-06-13,6881,8264,33,2,0,13,0
M000333,Bang Kapi,Mixed,2025-06-27,444,469,33,0,0,8,0
M000334,Lat Phrao,Commercial,2025-05-26,2433,1895,33,2,0,8,0
M000335,Thon Buri,Industrial,2025-07-02,6617,8098,37,1,0,6,0
M000336,Bang Khen,Residential,2025-05-24,714,562,29,1,0,9,0
M000337,Phaya Thai,Mixed,2025-07-23,578,290,37,1,0,5,0
M000338,Phaya Thai,Industrial,2025-05-25,9548,9112,31,2,0,1,0
M000339,Khlong Toei,Government,2025-05-28,1646,1716,25,2,0,1,0
M000340,Din Daeng,Mixed,2025-05-25,609,696,31,1,0,4,0
M000341,Bang Khen,Mixed,2025-07-08,460,498,22,3,0,3,0
M000342,Phaya Thai,Government,2025-05-04,1924,1887,32,0,0,11,0
M000343,Din Daeng,Government,2025-07-18,2862,3369,27,0,0,3,0
M000344,Phaya Thai,Government,2025-05-14,3298,3551,36,0,0,7,0
M000345,Bang Khen,Mixed,2025-07-01,388,440,39,0,0,7,0
M000346,Din Daeng,Government,2025-05-19,3037,3238,20,1,1,2,0
M000347,Bang Kapi,Commercial,2025-06-22,2058,2639,34,0,0,6,0
M000348,Phaya Thai,Commercial,2025-07-04,2474,1690,26,0,0,1,0
M000349,Khlong Toei,Government,2025-05-12,3114,2573,33,2,0,7,0
M000350,Thon Buri,Government,2025-07-20,2472,3512,40,2,0,5,0
M000351,Lat Phrao,Government,2025-06-04,1497,3773,33,1,0,4,0
M000352,Thon Buri,Residential,2025-07-29,638,552,21,0,0,5,0
M000353,Bang Kapi,Mixed,2025-06-18,561,565,34,2,0,6,0
M000354,Bang Kho Laem,Government,2025-05-25,3376,2837,28,2,1,4,0
M000355,Bang Kapi,Mixed,2025-06-01,502,465,31,1,0,2,0
M000356,Lat Phrao,Mixed,2025-07-01,640,477,35,2,0,9,0
M000357,Phaya Thai,Government,2025-05-16,2476,3600,30,2,0,11,0
M000358,Bang Khen,Industrial,2025-06-01,8194,9010,28,4,0,6,0
M000359,Bang Kapi,Mixed,2025-05-08,569,551,36,2,0,24,0
M000360,Din Daeng,Industrial,2025-06-26,7242,10230,29,0,1,9,0
