asset_id,district,feeder_type,customer_mix,asset_age_years,capacity_kva,avg_load_pct_90d,max_load_pct_90d,outage_count_12m,inspection_score,oil_temperature_c,critical_customers_nearby,maintenance_cost_estimate
NEWTR00032,Thon Buri,Underground,Commercial,11,2000,76,108,3,66,71,1,117120
NEWTR00033,Bang Khen,Underground,Mixed,12,250,84,110,2,59,82,3,126933
NEWTR00034,Thon Buri,Mixed,Mixed,13,750,70,90,1,70,79,7,106205
NEWTR00035,Phaya Thai,Underground,Government,4,750,48,46,0,67,61,5,75579
NEWTR00036,Bang Kapi,Underground,Residential,13,250,82,103,3,50,95,2,125425
NEWTR00037,Bang Kho Laem,Underground,Commercial,7,500,89,107,2,79,92,8,102029
NEWTR00038,Khlong Toei,Underground,Industrial,12,500,37,59,2,68,64,0,95231
NEWTR00039,Bang Kapi,Underground,Industrial,16,500,88,114,3,43,75,3,113932
NEWTR00040,Thon Buri,Overhead,Government,15,750,41,56,0,80,71,14,83016
NEWTR00041,Din Daeng,Underground,Commercial,8,1000,75,101,3,60,69,0,91684
NEWTR00042,Bang Kho Laem,Overhead,Mixed,6,250,75,83,0,69,75,11,86062
NEWTR00043,Din Daeng,Underground,Residential,9,750,72,67,3,64,84,2,82058
NEWTR00044,Bang Khen,Underground,Commercial,12,1000,66,80,0,76,87,0,130415
NEWTR00045,Phaya Thai,Underground,Government,8,500,68,72,1,73,68,8,64232
NEWTR00046,Bang Kho Laem,Underground,Commercial,11,1000,76,98,4,62,77,5,103547
NEWTR00047,Bang Kapi,Overhead,Government,2,2000,44,78,1,76,77,4,70696
NEWTR00048,Phaya Thai,Mixed,Residential,11,750,65,86,3,76,80,0,104937
NEWTR00049,Khlong Toei,Overhead,Government,15,750,106,133,3,45,90,0,140722
NEWTR00050,Din Daeng,Overhead,Industrial,9,750,85,106,4,46,71,7,121877
NEWTR00051,Lat Phrao,Overhead,Government,11,750,47,53,2,71,77,4,113824
NEWTR00052,Khlong Toei,Underground,Commercial,19,750,78,90,2,68,80,8,142082
NEWTR00053,Bang Kapi,Underground,Government,17,500,76,75,0,65,84,1,114441
NEWTR00054,Phaya Thai,Overhead,Industrial,17,500,52,78,1,54,77,10,111981
NEWTR00055,Bang Kapi,Overhead,Government,15,500,61,65,3,69,76,13,72747
NEWTR00056,Khlong Toei,Mixed,Mixed,11,750,70,89,1,65,73,7,87145
NEWTR00057,Bang Khen,Underground,Government,27,750,92,109,3,37,80,3,142072
NEWTR00058,Khlong Toei,Overhead,Government,21,250,82,108,2,67,78,10,141156
NEWTR00059,Lat Phrao,Mixed,Commercial,10,250,74,85,3,63,70,5,110094
NEWTR00060,Khlong Toei,Mixed,Government,24,1000,81,93,4,60,80,5,159203
NEWTR00061,Bang Khen,Underground,Mixed,23,1000,55,62,3,45,72,2,124531
NEWTR00062,Khlong Toei,Underground,Commercial,13,1000,67,95,2,72,80,6,114824
NEWTR00063,Phaya Thai,Overhead,Commercial,23,750,54,67,1,58,71,3,174472
NEWTR00064,Bang Khen,Underground,Mixed,13,1500,58,69,1,71,70,1,83627
NEWTR00065,Khlong Toei,Mixed,Mixed,6,1000,53,73,1,85,74,0,86147
NEWTR00066,Bang Kapi,Mixed,Industrial,2,2000,62,69,1,85,78,3,68835
NEWTR00067,Khlong Toei,Underground,Government,10,750,72,81,2,65,76,2,105259
NEWTR00068,Lat Phrao,Mixed,Mixed,11,250,73,86,0,74,75,4,143582
NEWTR00069,Phaya Thai,Overhead,Commercial,8,500,58,75,0,92,70,3,132446
NEWTR00070,Lat Phrao,Overhead,Residential,10,1500,55,79,1,78,83,4,80912
NEWTR00071,Bang Khen,Underground,Residential,11,2000,80,98,1,66,83,2,90620
NEWTR00072,Bang Kapi,Mixed,Government,12,250,67,80,0,77,78,4,123480
NEWTR00073,Bang Khen,Mixed,Commercial,5,1500,62,80,3,72,74,1,94345
NEWTR00074,Lat Phrao,Mixed,Residential,20,750,85,101,3,54,78,11,146798
NEWTR00075,Bang Khen,Mixed,Government,5,1500,73,114,3,66,77,0,90579
NEWTR00076,Bang Kho Laem,Overhead,Mixed,14,1000,81,91,1,68,79,3,137395
NEWTR00077,Phaya Thai,Underground,Commercial,2,250,78,105,2,63,68,0,127340
NEWTR00078,Lat Phrao,Overhead,Residential,17,500,72,82,0,73,74,1,151088
NEWTR00079,Phaya Thai,Mixed,Industrial,8,750,79,104,2,68,75,7,119798
NEWTR00080,Phaya Thai,Underground,Industrial,9,250,68,87,0,78,68,8,116323
NEWTR00081,Thon Buri,Underground,Government,19,1500,92,124,0,53,80,4,144150
NEWTR00082,Thon Buri,Mixed,Government,1,1000,62,65,1,76,76,0,105600
NEWTR00083,Phaya Thai,Mixed,Industrial,25,250,87,93,1,51,91,7,146305
NEWTR00084,Phaya Thai,Mixed,Government,7,500,58,70,1,82,74,6,134152
NEWTR00085,Din Daeng,Overhead,Mixed,26,1500,89,106,3,50,84,3,141649
NEWTR00086,Lat Phrao,Mixed,Mixed,6,1500,79,105,3,62,81,10,140078
NEWTR00087,Thon Buri,Mixed,Commercial,6,250,57,62,1,84,80,2,73779
NEWTR00088,Bang Khen,Overhead,Residential,10,2000,64,87,0,74,74,0,130796
NEWTR00089,Lat Phrao,Overhead,Government,5,250,45,62,2,58,85,7,116782
NEWTR00090,Bang Kapi,Underground,Commercial,12,2000,66,71,0,85,76,3,89489
NEWTR00091,Thon Buri,Overhead,Residential,3,1500,69,81,2,72,78,0,98776
NEWTR00092,Bang Kho Laem,Underground,Mixed,9,750,75,78,1,93,76,0,120525
NEWTR00093,Thon Buri,Mixed,Government,12,1000,90,109,3,83,80,2,118800
NEWTR00094,Khlong Toei,Underground,Government,14,1500,59,68,1,63,74,2,121531
NEWTR00095,Bang Kapi,Underground,Industrial,5,2000,81,98,1,87,70,6,112707
NEWTR00096,Lat Phrao,Mixed,Government,11,750,53,57,2,54,79,6,92625
NEWTR00097,Lat Phrao,Overhead,Mixed,20,250,71,87,2,68,64,5,100630
NEWTR00098,Lat Phrao,Overhead,Government,10,250,64,107,4,37,84,5,140014
NEWTR00099,Bang Khen,Overhead,Mixed,9,1000,50,80,1,86,71,6,105619
NEWTR00100,Lat Phrao,Mixed,Industrial,20,500,86,102,2,48,80,3,124100
NEWTR00101,Lat Phrao,Underground,Government,8,500,78,101,2,66,77,7,141050
NEWTR00102,Bang Khen,Mixed,Commercial,12,2000,89,87,2,63,89,1,127706
NEWTR00103,Thon Buri,Overhead,Commercial,16,1500,89,110,4,52,70,6,117230
NEWTR00104,Bang Khen,Mixed,Residential,20,500,98,121,2,53,86,2,167918
NEWTR00105,Bang Kapi,Overhead,Residential,22,250,45,62,3,54,83,5,129823
NEWTR00106,Phaya Thai,Mixed,Industrial,18,500,91,123,1,69,76,5,121825
NEWTR00107,Lat Phrao,Overhead,Mixed,4,250,73,103,0,72,81,3,75727
NEWTR00108,Din Daeng,Overhead,Commercial,17,250,66,66,1,54,89,0,117730
NEWTR00109,Bang Kho Laem,Mixed,Mixed,11,1000,73,95,2,53,75,0,128965
NEWTR00110,Phaya Thai,Underground,Government,7,1500,78,98,3,62,76,8,137740
NEWTR00111,Din Daeng,Underground,Mixed,5,1000,71,87,0,73,78,4,109295
NEWTR00112,Bang Khen,Mixed,Industrial,17,2000,67,87,3,61,81,3,127938
NEWTR00113,Thon Buri,Underground,Government,7,750,53,60,3,71,61,1,87189
NEWTR00114,Bang Khen,Overhead,Industrial,5,250,86,94,2,75,81,3,92876
NEWTR00115,Bang Khen,Mixed,Residential,13,2000,71,83,2,77,76,0,101446
NEWTR00116,Thon Buri,Overhead,Mixed,17,1500,78,69,0,57,78,7,135464
NEWTR00117,Bang Kapi,Overhead,Residential,7,1500,64,88,2,56,85,6,100910
NEWTR00118,Khlong Toei,Overhead,Commercial,23,1000,81,108,7,51,91,2,150438
NEWTR00119,Khlong Toei,Mixed,Residential,14,1500,74,101,0,67,76,8,157551
NEWTR00120,Bang Kho Laem,Overhead,Residential,25,1000,53,67,3,44,69,4,101610
NEWTR00121,Khlong Toei,Underground,Mixed,18,1500,69,79,2,71,86,5,144227
NEWTR00122,Lat Phrao,Overhead,Industrial,11,1500,68,84,3,50,71,13,72421
NEWTR00123,Bang Kapi,Mixed,Commercial,14,750,52,64,2,53,73,13,83463
NEWTR00124,Bang Kapi,Mixed,Government,6,250,83,90,3,60,73,5,122888
NEWTR00125,Din Daeng,Mixed,Mixed,19,500,49,72,3,39,85,1,104134
NEWTR00126,Bang Kapi,Mixed,Industrial,22,750,79,109,3,47,80,0,161116
NEWTR00127,Bang Kapi,Underground,Residential,15,1000,62,74,0,52,80,3,110566
NEWTR00128,Phaya Thai,Mixed,Industrial,18,250,72,110,1,50,80,4,123522
NEWTR00129,Bang Khen,Mixed,Residential,9,750,54,69,0,76,74,1,73530
NEWTR00130,Khlong Toei,Underground,Residential,8,1000,58,78,3,62,69,9,132375
NEWTR00131,Bang Kho Laem,Mixed,Residential,22,1500,77,105,1,50,75,2,134261
NEWTR00132,Bang Khen,Underground,Mixed,6,2000,58,67,2,74,84,2,85238
NEWTR00133,Khlong Toei,Mixed,Residential,20,750,49,55,3,51,74,2,126281
NEWTR00134,Din Daeng,Overhead,Government,5,750,68,71,1,67,76,4,56315
NEWTR00135,Bang Kho Laem,Underground,Industrial,1,2000,85,113,3,79,86,4,114887
NEWTR00136,Lat Phrao,Underground,Government,12,500,48,73,2,61,77,0,153475
NEWTR00137,Bang Khen,Overhead,Mixed,7,1000,49,61,2,88,69,2,118638
NEWTR00138,Thon Buri,Underground,Mixed,16,1000,77,103,0,82,79,0,120468
NEWTR00139,Bang Kapi,Overhead,Government,20,500,96,123,2,62,77,5,146233
NEWTR00140,Bang Kapi,Underground,Residential,22,2000,87,115,3,38,86,2,167745
NEWTR00141,Din Daeng,Mixed,Residential,4,1000,74,88,0,76,75,5,89806
NEWTR00142,Bang Kho Laem,Overhead,Commercial,9,1500,56,69,2,72,67,1,110492
NEWTR00143,Phaya Thai,Underground,Mixed,11,1000,90,95,1,74,71,5,125892
NEWTR00144,Lat Phrao,Underground,Government,12,2000,72,70,3,85,79,9,132992
NEWTR00145,Lat Phrao,Mixed,Government,10,1000,51,65,2,70,73,1,66266
NEWTR00146,Lat Phrao,Underground,Commercial,6,1000,57,81,0,59,73,1,101499
NEWTR00147,Bang Kapi,Underground,Residential,18,750,66,82,4,51,77,2,142512
NEWTR00148,Thon Buri,Overhead,Mixed,8,500,38,51,1,69,70,9,81196
NEWTR00149,Thon Buri,Mixed,Government,10,1000,79,102,3,54,76,2,109802
NEWTR00150,Khlong Toei,Mixed,Mixed,16,500,65,86,1,56,71,7,118693
NEWTR00151,Din Daeng,Underground,Residential,12,500,80,114,3,65,83,6,121945
NEWTR00152,Bang Kapi,Mixed,Commercial,7,500,58,73,2,69,76,2,79705
NEWTR00153,Phaya Thai,Mixed,Mixed,11,1500,96,116,4,55,86,6,148159
NEWTR00154,Din Daeng,Underground,Industrial,15,500,56,68,2,64,77,7,101616
NEWTR00155,Bang Kho Laem,Mixed,Industrial,14,1500,54,73,1,78,66,6,111987
NEWTR00156,Bang Kho Laem,Overhead,Mixed,20,250,71,69,5,36,80,6,115088
NEWTR00157,Din Daeng,Underground,Mixed,10,750,56,80,5,53,72,3,101183
NEWTR00158,Din Daeng,Overhead,Mixed,13,1000,54,69,1,79,77,0,110015
NEWTR00159,Khlong Toei,Mixed,Industrial,6,2000,58,84,4,68,78,0,105660
NEWTR00160,Phaya Thai,Mixed,Industrial,27,1500,80,99,2,70,93,7,140389
NEWTR00161,Khlong Toei,Mixed,Government,14,500,75,81,1,84,74,2,110486
NEWTR00162,Phaya Thai,Underground,Residential,14,750,87,98,4,62,80,6,121978
NEWTR00163,Thon Buri,Overhead,Commercial,18,1000,91,104,2,72,77,0,159939
NEWTR00164,Bang Kapi,Overhead,Government,29,1000,69,74,0,59,67,3,151443
NEWTR00165,Thon Buri,Underground,Government,16,2000,87,119,5,56,83,4,148626
NEWTR00166,Din Daeng,Mixed,Residential,33,250,88,98,3,49,75,3,145359
NEWTR00167,Khlong Toei,Underground,Government,17,1500,51,87,2,51,85,1,130613
NEWTR00168,Bang Kho Laem,Mixed,Industrial,8,2000,52,66,2,68,73,0,65925
NEWTR00169,Din Daeng,Overhead,Industrial,10,750,49,69,1,83,73,10,68111
NEWTR00170,Din Daeng,Overhead,Government,12,500,66,108,6,63,77,5,129508
NEWTR00171,Bang Kho Laem,Overhead,Commercial,7,500,31,39,0,91,58,5,112680
NEWTR00172,Bang Khen,Underground,Mixed,9,250,57,86,1,80,78,10,70249
NEWTR00173,Thon Buri,Mixed,Government,16,750,67,93,2,63,74,4,150624
NEWTR00174,Din Daeng,Mixed,Government,19,250,83,101,4,63,78,0,111881
NEWTR00175,Bang Kapi,Overhead,Residential,9,2000,51,76,3,53,70,0,132338
NEWTR00176,Bang Khen,Mixed,Government,8,1000,34,52,2,94,61,7,58482
NEWTR00177,Lat Phrao,Mixed,Commercial,21,2000,74,90,1,77,81,4,112215
NEWTR00178,Bang Khen,Overhead,Industrial,1,500,80,99,3,77,73,2,103663
NEWTR00179,Bang Kapi,Underground,Mixed,4,1000,28,50,0,93,74,0,39637
NEWTR00180,Thon Buri,Mixed,Government,1,750,46,62,2,67,71,7,86436
NEWTR00181,Khlong Toei,Mixed,Industrial,16,750,64,94,2,75,80,0,126734
NEWTR00182,Bang Kapi,Overhead,Commercial,13,1500,52,75,3,52,60,10,126314
NEWTR00183,Lat Phrao,Mixed,Government,10,250,76,93,0,76,70,7,91110
NEWTR00184,Phaya Thai,Mixed,Commercial,12,1500,49,55,2,71,79,5,98114
NEWTR00185,Khlong Toei,Underground,Commercial,16,1000,89,111,2,52,90,8,127758
NEWTR00186,Bang Khen,Mixed,Government,12,250,45,64,0,66,69,0,87587
NEWTR00187,Phaya Thai,Overhead,Mixed,11,2000,52,70,0,73,73,6,78101
NEWTR00188,Din Daeng,Overhead,Industrial,6,2000,78,105,1,81,76,0,94383
NEWTR00189,Bang Khen,Mixed,Industrial,21,1500,87,120,5,55,78,6,125011
NEWTR00190,Bang Kho Laem,Mixed,Residential,12,2000,71,69,3,50,64,6,122609
NEWTR00191,Bang Khen,Overhead,Residential,21,500,69,86,0,86,69,4,105528
NEWTR00192,Din Daeng,Underground,Residential,6,250,73,91,0,71,80,0,123015
NEWTR00193,Bang Khen,Mixed,Commercial,16,1000,53,64,1,70,67,6,116111
NEWTR00194,Thon Buri,Mixed,Industrial,24,1500,88,118,5,42,78,8,180000
NEWTR00195,Thon Buri,Underground,Industrial,16,750,66,66,4,48,80,3,116357
NEWTR00196,Bang Kapi,Overhead,Government,9,2000,84,108,2,72,83,9,115757
NEWTR00197,Phaya Thai,Overhead,Industrial,5,500,26,36,0,68,71,6,64793
NEWTR00198,Bang Khen,Mixed,Government,14,1000,57,62,4,49,70,9,110751
NEWTR00199,Bang Kho Laem,Mixed,Commercial,9,2000,56,68,2,76,71,7,82637
NEWTR00200,Bang Kapi,Overhead,Industrial,28,250,80,91,0,72,81,8,152140
NEWTR00201,Khlong Toei,Overhead,Industrial,9,750,70,86,0,62,77,5,119377
NEWTR00202,Bang Kapi,Overhead,Commercial,7,1500,96,118,1,60,64,8,74155
NEWTR00203,Bang Khen,Underground,Industrial,17,500,83,96,2,57,93,3,151863
NEWTR00204,Thon Buri,Overhead,Commercial,28,2000,52,76,2,60,65,4,150090
NEWTR00205,Din Daeng,Mixed,Mixed,8,1000,50,71,0,74,62,0,131229
NEWTR00206,Din Daeng,Mixed,Mixed,14,2000,43,61,2,74,67,3,103368
NEWTR00207,Khlong Toei,Mixed,Mixed,13,750,81,99,3,44,76,7,104208
NEWTR00208,Bang Khen,Mixed,Mixed,8,500,76,105,3,61,74,2,112309
NEWTR00209,Din Daeng,Mixed,Commercial,20,1500,85,98,2,52,85,0,148755
NEWTR00210,Khlong Toei,Mixed,Commercial,18,750,50,55,2,65,76,5,98322
NEWTR00211,Thon Buri,Mixed,Government,14,2000,77,79,3,62,86,4,115606
NEWTR00212,Din Daeng,Mixed,Residential,15,2000,93,123,3,70,77,8,126808
NEWTR00213,Bang Kho Laem,Mixed,Residential,21,250,72,77,1,56,72,3,112354
NEWTR00214,Lat Phrao,Underground,Residential,9,250,73,81,0,65,78,5,85479
NEWTR00215,Bang Kho Laem,Overhead,Commercial,11,750,80,93,0,58,63,8,106104
NEWTR00216,Bang Khen,Mixed,Mixed,3,750,83,87,1,67,81,8,101174
NEWTR00217,Bang Kho Laem,Overhead,Commercial,12,1500,87,118,3,59,79,0,115904
NEWTR00218,Din Daeng,Mixed,Mixed,21,250,78,74,4,52,70,8,123708
NEWTR00219,Bang Khen,Overhead,Industrial,26,500,83,95,1,65,78,2,140912
NEWTR00220,Bang Khen,Mixed,Government,17,2000,81,105,5,62,82,8,114587
NEWTR00221,Bang Khen,Overhead,Commercial,5,2000,76,103,3,46,77,2,116023
NEWTR00222,Phaya Thai,Underground,Government,1,250,59,62,1,91,72,3,88162
NEWTR00223,Thon Buri,Overhead,Residential,1,1500,65,75,2,74,76,2,53859
NEWTR00224,Lat Phrao,Underground,Mixed,8,1000,64,52,0,92,78,0,99488
NEWTR00225,Bang Khen,Underground,Government,24,1000,74,69,2,73,73,6,136217
NEWTR00226,Din Daeng,Underground,Residential,3,250,72,93,3,69,72,2,118067
NEWTR00227,Bang Kapi,Underground,Government,14,750,43,67,0,76,82,6,93979
NEWTR00228,Bang Khen,Overhead,Residential,11,250,82,107,2,50,75,0,110914
NEWTR00229,Din Daeng,Overhead,Commercial,13,750,68,78,3,84,70,14,121294
NEWTR00230,Phaya Thai,Underground,Mixed,14,1000,81,97,4,60,81,0,141037
NEWTR00231,Bang Kho Laem,Overhead,Mixed,17,500,61,73,1,70,77,6,102725
NEWTR00232,Bang Khen,Overhead,Residential,21,500,81,106,4,63,80,3,140630
NEWTR00233,Lat Phrao,Overhead,Industrial,12,500,35,41,3,75,73,0,110457
NEWTR00234,Phaya Thai,Mixed,Government,13,500,70,105,4,59,81,8,121872
NEWTR00235,Bang Kapi,Overhead,Residential,16,1000,81,110,4,44,78,6,128819
NEWTR00236,Lat Phrao,Underground,Residential,13,2000,74,83,0,68,83,3,65295
NEWTR00237,Thon Buri,Overhead,Government,12,500,85,98,4,43,75,3,103849
NEWTR00238,Phaya Thai,Underground,Mixed,11,500,85,94,2,64,82,2,129416
NEWTR00239,Phaya Thai,Overhead,Mixed,1,2000,74,93,3,70,69,2,108617
NEWTR00240,Bang Khen,Underground,Commercial,17,1500,66,74,1,62,75,2,113035
NEWTR00241,Bang Kapi,Underground,Commercial,23,2000,67,85,2,54,81,1,123668
NEWTR00242,Bang Khen,Underground,Industrial,10,1500,39,58,0,83,76,12,79005
NEWTR00243,Khlong Toei,Underground,Industrial,16,2000,60,88,2,58,85,4,106021
NEWTR00244,Thon Buri,Underground,Commercial,13,2000,60,66,0,59,77,7,67551
NEWTR00245,Bang Khen,Overhead,Mixed,14,1000,81,91,0,62,79,6,110024
NEWTR00246,Din Daeng,Overhead,Commercial,10,1000,73,81,1,64,70,4,91650
NEWTR00247,Phaya Thai,Mixed,Residential,5,250,95,114,5,56,84,0,144160
NEWTR00248,Thon Buri,Overhead,Residential,10,500,85,102,2,63,77,6,114771
NEWTR00249,Phaya Thai,Mixed,Mixed,1,500,62,57,0,83,66,7,83824
NEWTR00250,Khlong Toei,Underground,Government,5,750,73,114,3,72,77,4,116778
NEWTR00251,Bang Kho Laem,Mixed,Government,8,500,96,116,3,79,83,8,95213
NEWTR00252,Khlong Toei,Mixed,Mixed,7,1000,75,105,3,58,72,6,145458
NEWTR00253,Phaya Thai,Underground,Commercial,25,2000,91,115,5,34,88,7,175190
NEWTR00254,Bang Kapi,Overhead,Industrial,15,2000,57,77,1,69,80,1,153973
NEWTR00255,Bang Kapi,Overhead,Commercial,15,750,87,85,2,66,90,2,133915
NEWTR00256,Lat Phrao,Mixed,Government,25,750,77,94,4,52,77,3,131227
NEWTR00257,Bang Kapi,Overhead,Residential,26,2000,82,100,3,53,92,5,155442
NEWTR00258,Bang Khen,Overhead,Commercial,4,500,76,103,3,74,80,0,108803
NEWTR00259,Khlong Toei,Underground,Industrial,16,750,58,92,1,71,71,6,180000
NEWTR00260,Phaya Thai,Underground,Residential,11,500,72,90,1,74,73,3,101106
NEWTR00261,Bang Kho Laem,Underground,Industrial,1,750,85,84,1,100,82,5,46512
NEWTR00262,Thon Buri,Mixed,Commercial,14,500,52,73,2,67,64,0,99526
NEWTR00263,Din Daeng,Mixed,Mixed,21,500,93,110,3,44,79,12,121757
NEWTR00264,Bang Kapi,Underground,Commercial,8,2000,64,73,3,59,70,7,91392
NEWTR00265,Bang Khen,Underground,Commercial,23,250,67,95,3,54,75,3,152278
NEWTR00266,Lat Phrao,Overhead,Industrial,23,250,68,72,3,59,74,0,140690
NEWTR00267,Bang Khen,Mixed,Commercial,17,250,87,118,4,66,66,4,108677
NEWTR00268,Bang Kapi,Underground,Industrial,25,2000,62,75,2,58,71,3,135448
NEWTR00269,Phaya Thai,Overhead,Mixed,14,500,80,97,4,56,78,0,118507
NEWTR00270,Lat Phrao,Overhead,Commercial,10,250,52,83,1,72,68,1,122582
NEWTR00271,Phaya Thai,Mixed,Government,6,1500,78,87,2,69,70,0,126081
NEWTR00272,Thon Buri,Underground,Commercial,8,1000,62,75,4,62,71,1,91316
NEWTR00273,Khlong Toei,Mixed,Mixed,9,2000,78,97,2,67,82,7,96887
NEWTR00274,Khlong Toei,Mixed,Industrial,17,250,68,83,3,46,78,8,129798
NEWTR00275,Bang Kho Laem,Mixed,Government,18,500,64,76,1,81,80,2,142715
NEWTR00276,Lat Phrao,Overhead,Industrial,12,250,31,35,0,74,67,0,84936
NEWTR00277,Bang Khen,Mixed,Mixed,16,1500,48,57,2,72,69,7,125801
NEWTR00278,Khlong Toei,Underground,Commercial,9,500,73,98,2,78,85,6,104451
NEWTR00279,Phaya Thai,Overhead,Government,4,750,52,79,3,80,80,4,97603
NEWTR00280,Bang Khen,Mixed,Commercial,7,500,69,83,4,57,71,4,80878
